I [s_main.cc:122] 2017-06-16 15:45:27.817 | PWD : 
I [s_main.cc:134] 2017-06-16 15:45:27.817 | starting process 13393
I [config.cc:269] 2017-06-16 15:45:27.817 | LoadYML: /users/sgt43/janus/tmp/janus-final-dsefXr0hUn.yml
I [config.cc:382] 2017-06-16 15:45:27.829 | BuildSiteProcMap
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:619] 2017-06-16 15:45:27.831 | group size: 2
I [config.cc:643] 2017-06-16 15:45:27.831 | client forwarding: 0
I [config.cc:301] 2017-06-16 15:45:27.831 | # of concurrent requests: 1
I [s_main.cc:26] 2017-06-16 15:45:27.832 | client_setup_heartbeat
I [s_main.cc:42] 2017-06-16 15:45:27.832 | Start control server on port 5555
I [server.cpp:434] 2017-06-16 15:45:27.832 | rrr::Server: started on 0.0.0.0:5555
I [s_main.cc:51] 2017-06-16 15:45:27.832 | client enabled, number of sites: 1
I [communicator.cc:157] 2017-06-16 15:45:27.833 | connect to site: node-1:10000 (attempt 0)
E [client.cpp:139] 2017-06-16 15:45:27.834 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:28.834 | connect to site: node-1:10000 (attempt 1)
E [client.cpp:139] 2017-06-16 15:45:28.835 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:29.835 | connect to site: node-1:10000 (attempt 2)
E [client.cpp:139] 2017-06-16 15:45:29.836 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:30.836 | connect to site: node-1:10000 (attempt 3)
E [client.cpp:139] 2017-06-16 15:45:30.837 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:31.837 | connect to site: node-1:10000 (attempt 4)
E [client.cpp:139] 2017-06-16 15:45:31.837 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:32.838 | connect to site: node-1:10000 (attempt 5)
E [client.cpp:139] 2017-06-16 15:45:32.838 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:33.838 | connect to site: node-1:10000 (attempt 6)
E [client.cpp:139] 2017-06-16 15:45:33.839 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:34.839 | connect to site: node-1:10000 (attempt 7)
E [client.cpp:139] 2017-06-16 15:45:34.840 | rrr::Client: connect(node-1:10000): Connection refused
I [communicator.cc:157] 2017-06-16 15:45:35.840 | connect to site: node-1:10000 (attempt 8)
I [communicator.cc:157] 2017-06-16 15:45:35.840 | connect to site: node-10:10001 (attempt 0)
I [communicator.cc:157] 2017-06-16 15:45:35.841 | connect to site: node-11:10002 (attempt 0)
I [communicator.cc:157] 2017-06-16 15:45:35.841 | connect to site: node-1:10003 (attempt 0)
I [communicator.cc:157] 2017-06-16 15:45:35.842 | connect to site: node-10:10004 (attempt 0)
I [communicator.cc:157] 2017-06-16 15:45:35.842 | connect to site: node-11:10005 (attempt 0)
I [s_main.cc:126] 2017-06-16 15:45:35.843 | wait_for_clients: wait for client threads to exit.
I [communicator.cc:69] 2017-06-16 15:45:35.851 | Done waiting to connect to client leaders.
I [client_worker.cc:137] 2017-06-16 15:45:36.995 | closed loop clients.
I [client_worker.cc:115] 2017-06-16 15:45:36.995 | coordinator 393216 created at site 6: forward 0
I [client_worker.cc:224] 2017-06-16 15:45:36.995 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:36.995 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:36.999 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:36.002 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.010 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.015 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.023 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.025 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.030 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.034 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.038 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.040 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.044 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.044 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.047 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.050 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.056 | DispatchRequest: 6
